❌ 'Ensalada ensatún' → {'nombre': 'Ensalada ensatún', 'envase': 'Bol', 'size': '250 Gramos', 'precio': 2.49, 'subcategoria': 'Salsas'} (Esperado: {'nombre': 'Ensalada ensatún', 'envase': 'Bol', 'size': '250 Gramos', 'precio': 2.49, 'subcategoria': 'Platos preparados'})
❌ 'Filetes pechuga de pollo marinadas empanadas sin gluten' → {'nombre': 'Filetes pechuga de pollo marinadas empanadas sin gluten', 'envase': 'Bandeja', 'size': '470 Gramos aprox.', 'precio': 4.09, 'subcategoria': 'Platos preparados'} (Esperado: {'nombre': 'Filetes pechuga de pollo marinadas empanadas sin gluten', 'envase': 'Bandeja', 'size': '470 Gramos aprox.', 'precio': 4.09, 'subcategoria': 'Carne'})
❌ 'Filetes pechuga de pollo finas hierbas marinadas' → {'nombre': 'Filetes pechuga de pollo finas hierbas marinadas', 'envase': 'Bandeja', 'size': '590 Gramos aprox.', 'precio': 4.84, 'subcategoria': 'Platos preparados'} (Esperado: {'nombre': 'Filetes pechuga de pollo finas hierbas marinadas', 'envase': 'Bandeja', 'size': '590 Gramos aprox.', 'precio': 4.84, 'subcategoria': 'Carne'})
❌ 'Alas de pollo adobadas' → {'nombre': 'Alas de pollo adobadas', 'envase': 'Bandeja', 'size': '620 Gramos aprox.', 'precio': 3.47, 'subcategoria': 'Platos preparados'} (Esperado: {'nombre': 'Alas de pollo adobadas', 'envase': 'Bandeja', 'size': '620 Gramos aprox.', 'precio': 3.47, 'subcategoria': 'Carne'})
❌ 'Lagrimitas de pollo al limón empanadas sin gluten' → {'nombre': 'Lagrimitas de pollo al limón empanadas sin gluten', 'envase': 'Bandeja', 'size': '410 Gramos aprox.', 'precio': 3.44, 'subcategoria': 'Platos preparados'} (Esperado: {'nombre': 'Lagrimitas de pollo al limón empanadas sin gluten', 'envase': 'Bandeja', 'size': '410 Gramos aprox.', 'precio': 3.44, 'subcategoria': 'Carne'})
❌ 'Pincho Mexicano de pollo con varilla' → {'nombre': 'Pincho Mexicano de pollo con varilla', 'envase': 'Bandeja', 'size': '470 Gramos aprox.', 'precio': 4.84, 'subcategoria': 'Platos preparados'} (Esperado: {'nombre': 'Pincho Mexicano de pollo con varilla', 'envase': 'Bandeja', 'size': '470 Gramos aprox.', 'precio': 4.84, 'subcategoria': 'Carne'})
❌ 'Pollo adobado y verduras' → {'nombre': 'Pollo adobado y verduras', 'envase': 'Bandeja', 'size': '460 Gramos aprox.', 'precio': 3.45, 'subcategoria': 'Platos preparados'} (Esperado: {'nombre': 'Pollo adobado y verduras', 'envase': 'Bandeja', 'size': '460 Gramos aprox.', 'precio': 3.45, 'subcategoria': 'Carne'})
❌ 'Contramuslos deshuesados y sin piel de pollo certificado alimentado con un 50% de maíz' → {'nombre': 'Contramuslos deshuesados y sin piel de pollo certificado alimentado con un 50% de maíz', 'envase': 'Bandeja', 'size': '500 Gramos aprox.', 'precio': 4.5, 'subcategoria': 'Aceite y vinagre'} (Esperado: {'nombre': 'Contramuslos deshuesados y sin piel de pollo certificado alimentado con un 50% de maíz', 'envase': 'Bandeja', 'size': '500 Gramos aprox.', 'precio': 4.5, 'subcategoria': 'Carne'})
❌ 'Burger de pollo gruesa' → {'nombre': 'Burger de pollo gruesa', 'envase': 'Bandeja', 'size': '2 Unidades (360 g)', 'precio': 3.2, 'subcategoria': 'Platos preparados'} (Esperado: {'nombre': 'Burger de pollo gruesa', 'envase': 'Bandeja', 'size': '2 Unidades (360 g)', 'precio': 3.2, 'subcategoria': 'Carne'})
❌ 'Burger de vacuno y cerdo con jamón y cebolla caramelizada' → {'nombre': 'Burger de vacuno y cerdo con jamón y cebolla caramelizada', 'envase': 'Bandeja', 'size': '2 Unidades (240 g)', 'precio': 2.8, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Burger de vacuno y cerdo con jamón y cebolla caramelizada', 'envase': 'Bandeja', 'size': '2 Unidades (240 g)', 'precio': 2.8, 'subcategoria': 'Carne'})
❌ 'Burger de pavo y espinacas' → {'nombre': 'Burger de pavo y espinacas', 'envase': 'Bandeja', 'size': '2 Unidades (240 g)', 'precio': 2.4, 'subcategoria': 'Platos preparados'} (Esperado: {'nombre': 'Burger de pavo y espinacas', 'envase': 'Bandeja', 'size': '2 Unidades (240 g)', 'precio': 2.4, 'subcategoria': 'Carne'})
❌ 'Mini burgers de vacuno y cerdo' → {'nombre': 'Mini burgers de vacuno y cerdo', 'envase': 'Bandeja', 'size': '8 Unidades (280 g)', 'precio': 3.1, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Mini burgers de vacuno y cerdo', 'envase': 'Bandeja', 'size': '8 Unidades (280 g)', 'precio': 3.1, 'subcategoria': 'Carne'})
❌ 'Burger americana gruesas' → {'nombre': 'Burger americana gruesas', 'envase': 'Bandeja', 'size': '2 Unidades (360 g)', 'precio': 3.1, 'subcategoria': 'Platos preparados'} (Esperado: {'nombre': 'Burger americana gruesas', 'envase': 'Bandeja', 'size': '2 Unidades (360 g)', 'precio': 3.1, 'subcategoria': 'Carne'})
❌ 'Burger Crunchy Chicken' → {'nombre': 'Burger Crunchy Chicken', 'envase': 'Bandeja', 'size': '2 Unidades (240 g)', 'precio': 2.0, 'subcategoria': 'Snacks y aperitivos'} (Esperado: {'nombre': 'Burger Crunchy Chicken', 'envase': 'Bandeja', 'size': '2 Unidades (240 g)', 'precio': 2.0, 'subcategoria': 'Carne'})
❌ 'Flamenquín de pollo marinado con jamón y queso' → {'nombre': 'Flamenquín de pollo marinado con jamón y queso', 'envase': 'Bandeja', 'size': '450 Gramos aprox.', 'precio': 5.24, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Flamenquín de pollo marinado con jamón y queso', 'envase': 'Bandeja', 'size': '450 Gramos aprox.', 'precio': 5.24, 'subcategoria': 'Carne'})
❌ 'Compango' → {'nombre': 'Compango', 'envase': 'Paquete', 'size': '250 Gramos', 'precio': 2.6, 'subcategoria': 'Cacao'} (Esperado: {'nombre': 'Compango', 'envase': 'Paquete', 'size': '250 Gramos', 'precio': 2.6, 'subcategoria': 'Carne'})
❌ 'Preparado Andaluz' → {'nombre': 'Preparado Andaluz', 'envase': 'Bandeja', 'size': '500 Gramos aprox.', 'precio': 2.6, 'subcategoria': 'Platos preparados'} (Esperado: {'nombre': 'Preparado Andaluz', 'envase': 'Bandeja', 'size': '500 Gramos aprox.', 'precio': 2.6, 'subcategoria': 'Carne'})
